lat,long,name,stand_count,overall_canopy_size,canopy_size (cm2/seedlings)
36.412,-89.6963,DJI_0151.JPG_-2_7_36.4119_-89.6963.tiff,12.520989,335.89917,26.826887
36.412,-89.6963,DJI_0151.JPG_-2_8_36.4119_-89.6963.tiff,12.794667,366.53067,28.647144
36.412,-89.6963,DJI_0151.JPG_-2_9_36.4119_-89.6963.tiff,12.572272,304.90897,24.252495
36.412,-89.6963,DJI_0151.JPG_-2_10_36.4119_-89.6963.tiff,12.768083,299.9258,23.490278
36.412,-89.6963,DJI_0151.JPG_-2_11_36.4119_-89.6963.tiff,14.442214,435.87265,30.18046
36.4119,-89.6963,DJI_0151.JPG_-1_3_36.4119_-89.6963.tiff,13.319031,333.93573,25.072075
36.4119,-89.6963,DJI_0151.JPG_-1_4_36.4119_-89.6963.tiff,12.490693,341.78152,27.362896
36.4119,-89.6963,DJI_0151.JPG_-1_5_36.4119_-89.6963.tiff,12.430293,346.28986,27.858543
36.4119,-89.6963,DJI_0151.JPG_-1_6_36.4119_-89.6963.tiff,10.935733,258.49802,23.637924
36.4119,-89.6963,DJI_0151.JPG_-1_7_36.4119_-89.6963.tiff,12.209657,312.02417,25.555523
36.4119,-89.6963,DJI_0151.JPG_-1_8_36.4119_-89.6963.tiff,13.330038,352.076,26.412228
36.4119,-89.6963,DJI_0151.JPG_-1_9_36.4119_-89.6963.tiff,12.419524,386.17316,31.094038
36.4119,-89.6963,DJI_0151.JPG_-1_10_36.4119_-89.6963.tiff,13.594111,349.5038,25.709942
36.4119,-89.6963,DJI_0151.JPG_-1_11_36.4119_-89.6963.tiff,11.653123,277.6531,23.826498
36.4119,-89.6963,DJI_0151.JPG_0_3_36.4119_-89.6963.tiff,11.6160755,289.818,24.949734
36.4119,-89.6963,DJI_0151.JPG_0_4_36.4119_-89.6963.tiff,11.231094,313.5309,27.916328
36.4119,-89.6963,DJI_0151.JPG_0_5_36.4119_-89.6963.tiff,11.337744,338.606,29.865377
36.4119,-89.6963,DJI_0151.JPG_0_6_36.4119_-89.6963.tiff,11.99439,284.0952,23.685675
36.4119,-89.6963,DJI_0151.JPG_0_7_36.4119_-89.6963.tiff,13.40079,330.54175,24.66584
36.4119,-89.6963,DJI_0151.JPG_0_8_36.4119_-89.6963.tiff,12.931236,313.7542,24.26328
36.4119,-89.6963,DJI_0151.JPG_0_9_36.4119_-89.6963.tiff,13.644942,388.49615,28.471806
36.4119,-89.6963,DJI_0151.JPG_0_10_36.4119_-89.6963.tiff,10.062295,199.78883,19.855196
36.4119,-89.6963,DJI_0151.JPG_0_11_36.4119_-89.6963.tiff,14.378605,365.1083,25.392471
36.4119,-89.6963,DJI_0151.JPG_1_3_36.4119_-89.6963.tiff,13.523037,357.6344,26.446308
