lat,long,name
36.4119,-89.6963,DJI_0150.JPG_-2_3_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-2_4_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-2_5_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-2_6_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-2_7_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-2_8_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-2_9_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-2_10_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-2_11_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-1_3_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-1_4_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-1_5_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-1_6_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-1_7_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-1_8_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-1_9_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-1_10_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_-1_11_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_0_3_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_0_4_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_0_5_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_0_6_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_0_7_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_0_8_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_0_9_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_0_10_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_0_11_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_1_3_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_1_4_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_1_5_36.4119_-89.6963.tiff
36.4119,-89.6963,DJI_0150.JPG_1_6_36.4119_-89.6963.tiff
